[04:57:30] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[04:57:31] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:57:31] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:57:31] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:57:31] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[04:57:31] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[04:57:31] [ServerMain/INFO]: Reloading ResourceManager: Default
[04:57:32] [Worker-Main-2/INFO]: Loaded 7 recipes
[04:57:33] [Worker-Main-2/INFO]: Loaded 1141 advancements
[04:57:38] [Server thread/INFO]: Starting minecraft server version 1.18.1
[04:57:38] [Server thread/INFO]: Loading properties
[04:57:38] [Server thread/INFO]: Default game type: SURVIVAL
[04:57:38] [Server thread/INFO]: Generating keypair
[04:57:38] [Server thread/INFO]: Starting Minecraft server on *:25565
[04:57:39] [Server thread/INFO]: Using epoll channel type
[04:57:39] [Server thread/INFO]: Preparing level "world"
[04:57:54] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[04:57:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:57:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:57:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:57:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:57:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:57:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:57:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:57:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:57:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:57:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:57:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:42] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:42] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:44] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:44] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:45] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:46] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:47] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:48] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:49] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:50] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:51] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:52] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:53] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:54] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:55] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:56] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:58] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:58:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:02] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[04:59:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
